MFP_Tc,folderror,endpoint
0.1,0.8415674961874255,human_VDss_L_kg
0.2,1.727943497563547,human_VDss_L_kg
0.3,1.5697390871516428,human_VDss_L_kg
0.4,1.5853374062815861,human_VDss_L_kg
0.5,1.8305177519731615,human_VDss_L_kg
0.6,1.281533553640645,human_VDss_L_kg
0.7,0.9757585604325197,human_VDss_L_kg
0.8,0.9079091461487123,human_VDss_L_kg
0.9,1.0143750380291077,human_VDss_L_kg
0.1,0.4857754550578318,human_CL_mL_min_kg
0.2,4.145622850945635,human_CL_mL_min_kg
0.3,3.4029995355955016,human_CL_mL_min_kg
0.4,2.153337198764389,human_CL_mL_min_kg
0.5,1.5167939251351836,human_CL_mL_min_kg
0.6,1.6497124573565896,human_CL_mL_min_kg
0.7,1.4997785104887147,human_CL_mL_min_kg
0.8,0.9071598268741609,human_CL_mL_min_kg
0.9,0.9978122778758982,human_CL_mL_min_kg
0.1,0.5427556417648447,human_fup
0.2,4.117616287033123,human_fup
0.3,2.845837586808551,human_fup
0.4,1.951686060837509,human_fup
0.5,1.3269506195710412,human_fup
0.6,1.1811468274989312,human_fup
0.7,0.9434792993602625,human_fup
0.8,0.9859609203588433,human_fup
0.9,0.9352260411057218,human_fup
0.1,1.1490578913256972,human_mrt
0.2,2.42859799261757,human_mrt
0.3,2.5720741439191763,human_mrt
0.4,2.430430505719425,human_mrt
0.5,2.187912850433138,human_mrt
0.6,1.342867435742698,human_mrt
0.7,1.2135764598430843,human_mrt
0.8,1.021364267262123,human_mrt
0.9,0.6823771626591867,human_mrt
0.1,2.1379498984604854,human_thalf
0.2,1.9198178076708352,human_thalf
0.3,2.343082435437308,human_thalf
0.4,1.735520133569787,human_thalf
0.5,2.5358043069076106,human_thalf
0.6,1.7535121468806703,human_thalf
0.7,1.037557785783628,human_thalf
0.8,0.9892835371630768,human_thalf
0.9,0.8579874682556238,human_thalf
